test1,2024-12-02 20:21:51,8,10
test2,2024-12-03 17:00:47,10,8
test3,2024-12-03 17:32:31,3,10
test4,2024-12-03 17:56:38,10,7
seldi,2024-12-03 18:06:51,10,8
test6,2024-12-03 18:21:59,7,10
seldi,2024-12-03 18:47:58,7,10
emma,2024-12-03 19:23:12,10,6
sxl,2024-12-03 20:25:29,10,8
seldi_2,2024-12-03 20:27:46,7,10
seldi,2025-01-23 21:47:38,10,7
seldi,2025-01-23 22:27:50,10,8
emma,2025-01-23 22:30:27,10,9
seldi,2025-01-23 23:47:38,10,7
seldi,2025-01-24 8:27:50,10,8
vicky,2025-01-23 22:32:02,5,10
vicky,2025-01-23 22:36:21,5,10
